,player,draft_pick,pre_draft_rank,rsci_rank,position_nba,age,height,weight,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,offensive_rebound_percentage,player_efficiency_rating,steal_percentage,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,turnover_percentage,two_point_percentage,usage_percentage,win_shares_per_40_minutes,pace,sos,srs,minutes_per_game,defensive_ws_per_40_minutes,fouls_per_40_minutes,fga_per_100_poss,pts_produced_per_100_poss,win_shares_nba
0,Kyrie Irving,1,1,2,Guard,19.25,73.75,191,29.8,1.8,14.8,5.0,0.683,0.901,11,8,2.3,32.5,3.0,0.375,0.462,6.7,16.4,0.569,26.4,0.32,70.2,8.32,24.51,27.5,0.079,3.0,19.6,35.5,10.4
1,Derrick Williams,2,2,100,Wing,20.08,79.25,248,8.7,2.3,12.1,2.5,0.871,0.746,38,38,11.8,32.8,1.9,0.195,0.568,17.0,15.7,0.601,28.9,0.279,66.9,7.99,16.54,30.0,0.067,3.7,19.9,35.4,3.6
2,Tristan Thompson,4,6,9,Big,20.28,79.5,227,8.1,7.2,8.9,4.5,0.829,0.487,36,34,14.0,24.2,1.8,0.0,0.0,13.8,12.7,0.546,22.4,0.2,67.8,7.96,20.82,30.7,0.098,3.6,16.8,25.4,8.7
3,Brandon Knight,8,5,4,Guard,19.56,73.5,177,23.4,0.6,5.5,0.9,0.333,0.795,38,38,2.2,19.3,1.1,0.45,0.377,6.3,16.8,0.461,27.0,0.157,66.2,8.91,20.3,35.9,0.053,2.4,22.7,28.9,4.5
4,Kemba Walker,9,9,15,Guard,21.13,71.5,184,28.0,0.5,13.1,3.9,0.426,0.819,41,41,3.9,29.9,3.1,0.307,0.33,7.9,9.5,0.471,32.4,0.251,65.1,10.44,17.95,37.6,0.062,1.5,29.4,37.0,9.9
5,Jimmer Fredette,10,10,101,Guard,22.33,72.75,196,28.8,0.1,10.8,0.8,0.369,0.894,37,37,2.0,30.9,2.1,0.409,0.396,5.2,12.7,0.491,37.8,0.256,71.1,5.76,18.65,35.8,0.057,1.5,32.5,41.9,1.1
6,Klay Thompson,11,11,58,Wing,21.38,77.75,206,25.0,3.1,9.8,3.0,0.336,0.838,34,33,2.6,26.1,2.8,0.446,0.398,8.6,15.3,0.466,32.8,0.198,68.5,6.81,12.27,34.7,0.075,3.4,27.3,34.4,8.8
7,Alec Burks,12,12,101,Wing,19.93,77.0,193,19.6,1.0,8.1,0.0,0.564,0.825,38,37,9.2,29.4,2.0,0.179,0.292,12.1,12.7,0.508,32.3,0.221,69.1,5.61,11.45,31.4,0.034,3.0,26.0,37.4,3.2
8,Markieff Morris,13,23,92,Big,21.81,79.75,241,11.0,4.9,10.3,3.6,0.462,0.673,38,34,13.9,29.1,1.9,0.178,0.424,19.7,16.2,0.625,25.5,0.257,69.7,7.62,24.1,24.4,0.104,4.7,20.5,30.1,6.4
9,Marcus Morris,14,20,62,Wing,21.81,79.0,230,11.4,2.4,10.9,2.9,0.511,0.688,38,35,11.5,29.3,1.7,0.181,0.342,15.5,11.4,0.62,26.9,0.269,69.7,7.62,24.1,28.3,0.086,3.6,22.5,32.0,5.4
10,Kawhi Leonard,15,7,48,Wing,19.99,78.0,227,16.0,1.9,9.2,3.9,0.305,0.759,36,36,11.4,26.5,2.7,0.181,0.291,19.0,12.3,0.478,27.6,0.231,63.7,6.36,17.96,32.6,0.109,3.0,25.4,30.4,13.7
11,Nikola Vucevic,16,21,101,Big,20.67,82.25,260,11.0,4.4,9.4,2.8,0.383,0.755,34,34,9.8,27.1,0.9,0.195,0.349,17.7,10.3,0.542,25.5,0.221,64.3,7.97,11.52,34.9,0.081,3.2,22.3,29.2,7.0
12,Iman Shumpert,17,22,22,Guard,21.0,76.25,222,25.7,0.7,9.6,4.2,0.401,0.806,31,31,5.7,25.4,5.0,0.346,0.278,10.6,12.2,0.474,29.1,0.196,69.2,5.68,6.42,32.0,0.085,3.5,25.4,30.8,3.0
13,Chris Singleton,18,18,14,Wing,21.59,79.75,230,8.9,5.9,9.0,5.6,0.441,0.667,28,25,8.2,21.9,3.9,0.332,0.368,12.8,15.0,0.466,24.5,0.191,69.3,6.45,13.48,29.1,0.118,4.4,20.3,24.4,1.9
14,Tobias Harris,19,17,5,Wing,18.94,78.5,223,10.4,3.4,7.3,1.8,0.423,0.753,34,33,7.5,23.8,1.4,0.189,0.303,14.0,11.4,0.497,27.2,0.177,67.1,8.73,11.08,29.2,0.06,2.8,24.1,28.6,6.6
15,Nolan Smith,21,40,18,Guard,22.92,73.5,188,30.3,0.2,9.9,2.3,0.405,0.813,37,37,4.1,25.7,2.0,0.287,0.35,7.2,14.8,0.501,30.7,0.234,70.2,8.32,24.51,34.0,0.073,2.3,25.7,35.3,0.0
16,Kenneth Faried,22,14,101,Big,21.6,78.0,225,7.4,8.8,8.5,2.3,0.644,0.577,35,34,20.0,34.7,3.4,0.0,0.0,25.6,15.8,0.623,24.5,0.272,64.3,-3.13,2.81,34.7,0.118,3.6,19.1,30.1,7.8
