player,ncaa_id,nba_id,draft_year,draft_pick,college,years_nba,espn_pre_draft_rank,projected_pos_nba,height,weight,team_games_2020
Kyrie Irving,kyrie-irving-1,irvinky01,2011,1,Duke,9,1,Guard,73.75,191,0
Derrick Williams,derrick-williams-2,willide02,2011,2,Arizona,7,2,Wing,79.25,248,0
Tristan Thompson,tristan-thompson-2,thomptr01,2011,4,Texas,9,6,Big,79.5,227,0
Brandon Knight,brandon-knight-1,knighbr03,2011,8,Kentucky,8,5,Guard,73.5,177,0
Kemba Walker,kemba-walker-1,walkeke02,2011,9,UConn,9,9,Guard,71.5,184,0
Jimmer Fredette,jimmer-fredette-1,fredeji01,2011,10,BYU,6,10,Guard,72.75,196,0
Klay Thompson,klay-thompson-1,thompkl01,2011,11,Washington State,8,11,Wing,77.75,206,0
Alec Burks,alec-burks-1,burksal01,2011,12,Colorado,9,12,Wing,77,193,0
Markieff Morris,markieff-morris-1,morrima02,2011,13,Kansas,9,23,Big,79.75,241,0
Marcus Morris,marcus-morris-1,morrima03,2011,14,Kansas,9,20,Wing,79,230,0
Kawhi Leonard,kawhi-leonard-1,leonaka01,2011,15,San Diego State,9,7,Wing,78,227,0
Nikola Vucevic,nikola-vucevic-1,vucevni01,2011,16,USC,9,21,Big,82.25,260,0
Iman Shumpert,iman-shumpert-1,shumpim01,2011,17,Georgia Tech,9,22,Guard,76.25,222,0
Chris Singleton,chris-singleton-1,singlch01,2011,18,Florida State,3,18,Wing,79.75,230,0
Tobias Harris,tobias-harris-1,harrito02,2011,19,Tennessee,9,17,Wing,78.5,223,0
Nolan Smith,nolan-smith-1,smithno01,2011,21,Duke,2,40,Guard,73.5,188,0
Kenneth Faried,kenneth-faried-1,farieke01,2011,22,Morehead State University,8,14,Big,78,225,0
Reggie Jackson,reggie-jackson-1,jacksre01,2011,24,Boston College,9,26,Guard,75,200,0
MarShon Brooks,marshon-brooks-1,brookma01,2011,25,Providence,5,15,Wing,76.25,195,0
Jordan Hamilton,jordan-hamilton-2,hamiljo02,2011,26,Texas,5,19,Wing,78.75,228,0
